,Store,Units_Sold,sin,cos,Category_Clothing,Category_Electronics,Category_Home Goods,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
0,101,30,0.21497044021102407,0.9766205557100867,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,102,45,0.21497044021102407,0.9766205557100867,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,103,20,0.21497044021102407,0.9766205557100867,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,101,25,0.4198891015602646,0.907575419670957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,102,50,0.4198891015602646,0.907575419670957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,103,30,0.4198891015602646,0.907575419670957,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,101,40,0.6051742151937651,0.7960930657056438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,102,55,0.6051742151937651,0.7960930657056438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,103,25,0.6051742151937651,0.7960930657056438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,101,35,0.7621620551276365,0.6473862847818277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,102,60,0.7621620551276365,0.6473862847818277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,103,15,0.7621620551276365,0.6473862847818277,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,103,18,0.8835120444460229,0.46840844069979015,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,102,42,0.8835120444460229,0.46840844069979015,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,101,28,0.8835120444460229,0.46840844069979015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,101,32,0.963549992519223,0.26752833852922075,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,102,37,0.963549992519223,0.26752833852922075,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,103,22,0.963549992519223,0.26752833852922075,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,101,29,0.9985334138511238,0.05413890858541761,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,102,53,0.9985334138511238,0.05413890858541761,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,103,20,0.9985334138511238,0.05413890858541761,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,101,33,0.9868265225415261,-0.16178199655276473,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,102,47,0.9868265225415261,-0.16178199655276473,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,103,25,0.9868265225415261,-0.16178199655276473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,101,38,0.9289767198167915,-0.37013815533991423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
