,Store,Category,Units_Sold,Day_of_Week,sin,cos
0,101,1,30,1,0.21497044021102407,0.9766205557100867
1,102,0,45,1,0.21497044021102407,0.9766205557100867
2,103,2,20,1,0.21497044021102407,0.9766205557100867
3,101,1,25,5,0.4198891015602646,0.907575419670957
4,102,0,50,5,0.4198891015602646,0.907575419670957
5,103,2,30,5,0.4198891015602646,0.907575419670957
6,101,1,40,6,0.6051742151937651,0.7960930657056438
7,102,0,55,6,0.6051742151937651,0.7960930657056438
8,103,2,25,6,0.6051742151937651,0.7960930657056438
9,101,1,35,4,0.7621620551276365,0.6473862847818277
10,102,0,60,4,0.7621620551276365,0.6473862847818277
11,103,2,15,4,0.7621620551276365,0.6473862847818277
14,103,2,18,0,0.8835120444460229,0.46840844069979015
13,102,0,42,0,0.8835120444460229,0.46840844069979015
12,101,1,28,0,0.8835120444460229,0.46840844069979015
15,101,1,32,2,0.963549992519223,0.26752833852922075
16,102,0,37,2,0.963549992519223,0.26752833852922075
17,103,2,22,2,0.963549992519223,0.26752833852922075
18,101,1,29,3,0.9985334138511238,0.05413890858541761
19,102,0,53,3,0.9985334138511238,0.05413890858541761
20,103,2,20,3,0.9985334138511238,0.05413890858541761
21,101,1,33,1,0.9868265225415261,-0.16178199655276473
22,102,0,47,1,0.9868265225415261,-0.16178199655276473
23,103,2,25,1,0.9868265225415261,-0.16178199655276473
24,101,1,38,5,0.9289767198167915,-0.37013815533991423
25,102,0,62,5,0.9289767198167915,-0.37013815533991423
26,103,2,28,5,0.9289767198167915,-0.37013815533991423
29,103,2,26,6,0.8276889981568906,-0.5611870653623823
27,101,1,31,6,0.8276889981568906,-0.5611870653623823
28,102,0,55,6,0.8276889981568906,-0.5611870653623823
33,101,1,31,2,-0.9289767198167914,-0.37013815533991445
34,102,0,55,2,-0.9289767198167914,-0.37013815533991445
35,103,2,26,2,-0.9289767198167914,-0.37013815533991445
36,103,2,30,1,-0.9985334138511239,0.0541389085854167
39,103,2,25,5,-0.9635499925192231,0.2675283385292201
37,101,1,40,5,-0.9635499925192231,0.2675283385292201
38,102,0,55,5,-0.9635499925192231,0.2675283385292201
42,103,2,15,6,-0.8835120444460228,0.4684084406997903
40,101,1,35,6,-0.8835120444460228,0.4684084406997903
41,102,0,60,6,-0.8835120444460228,0.4684084406997903
43,101,1,28,4,-0.7621620551276362,0.6473862847818279
44,102,0,42,4,-0.7621620551276362,0.6473862847818279
45,103,2,18,4,-0.7621620551276362,0.6473862847818279
46,101,1,32,0,-0.6051742151937649,0.796093065705644
47,102,0,37,0,-0.6051742151937649,0.796093065705644
48,103,2,22,0,-0.6051742151937649,0.796093065705644
50,102,0,53,2,-0.41988910156026493,0.9075754196709569
51,103,2,20,2,-0.41988910156026493,0.9075754196709569
49,101,1,29,2,-0.41988910156026493,0.9075754196709569
52,101,1,33,3,-0.21497044021102438,0.9766205557100867
53,102,0,47,3,-0.21497044021102438,0.9766205557100867
54,103,2,25,3,-0.21497044021102438,0.9766205557100867
31,102,0,62,1,-2.4492935982947064e-16,1.0
30,101,1,38,1,-2.4492935982947064e-16,1.0
32,103,2,28,1,-2.4492935982947064e-16,1.0
